# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.0025	0.003207369429	0.002515244511	0.00253875129	0.002399155082	0.001813935146	0.001653984587	0.000369235541
0.0075	0.008986164348	0.006441155256	0.005692560883	0.005706098574	0.004280364948	0.004384371841	0.001673867785
0.0125	0.01334099784	0.010872776537	0.00845378007	0.008753673949	0.006903393468	0.007679214153	0.00262157234
0.0175	0.020308731427	0.013973580617	0.011830057559	0.012255143529	0.010348565256	0.009937034382	0.004381595085
0.0225	0.024400892423	0.020294962325	0.01582139335	0.017118295723	0.013415290142	0.013625682548	0.005304683937
0.0275	0.031493049824	0.02158585501	0.018517180803	0.018791220078	0.017108409899	0.016421704111	0.006757010398
0.0325	0.036539126727	0.028146783814	0.02356851069	0.024367634594	0.020005486175	0.019519643495	0.008135489751
0.0375	0.044211928594	0.031247587894	0.027154169729	0.026494453153	0.021949920252	0.023234545385	0.008689343062
0.0425	0.04907828221	0.038314227234	0.0324803129	0.031137142448	0.02664788178	0.025531746199	0.011212452592
0.0475	0.056502236449	0.04138841497	0.035320050168	0.034223623041	0.027130727826	0.029771722561	0.011581688133
0.0525	0.063884716083	0.050012110437	0.04143137415	0.03932020654	0.032468134118	0.031767005554	0.014523264608
0.0575	0.071792540709	0.053352461613	0.043760743891	0.043236665107	0.034399518302	0.036203884842	0.013686330716
0.0625	0.079617416127	0.062255628691	0.049479477467	0.048968700493	0.03892783122	0.038684861722	0.016640215043
0.0675	0.086529850241	0.065436281803	0.05217526492	0.053144527177	0.04242520258	0.041822181692	0.016787909259
0.0725	0.091880074245	0.071757663511	0.056009564549	0.057372227485	0.045113480566	0.045839001403	0.018880243991
0.0775	0.101350108981	0.077466869306	0.060537440562	0.059952940249	0.048441203315	0.048109948494	0.019975642762
0.0825	0.105511394318	0.080634214246	0.065104575615	0.065970280564	0.052721568263	0.0526780964	0.02113258079
0.0875	0.114912304713	0.088459419391	0.068978134285	0.066035122593	0.056636536203	0.056012319297	0.02275721717
0.0925	0.118810917554	0.089949934657	0.074880076717	0.073621640016	0.060303556174	0.059910997252	0.024295698591
0.0975	0.127962980321	0.100090761733	0.078858326162	0.075216753935	0.065301665245	0.065437406069	0.026228031255
0.1025	0.132870808542	0.101182031838	0.08440693723	0.082245629907	0.070064876239	0.06879788269	0.02871421723
0.1075	0.140889232114	0.112800066009	0.090963197005	0.088885453702	0.07348394824	0.075413821037	0.030843475516
0.1125	0.148783231873	0.114490203855	0.094548856044	0.090558378057	0.080400391601	0.076030783541	0.033748128437
0.1175	0.152723319318	0.128104463827	0.098409328367	0.100544050562	0.081705380915	0.084064422962	0.035532766885
0.1225	0.165608096506	0.127439055226	0.10547595567	0.102307753758	0.08859572449	0.084038169239	0.038978965267
0.1275	0.166879984383	0.140520988318	0.108158656775	0.111580163941	0.094115829285	0.092452487652	0.041415919837
0.1325	0.179944484859	0.140028585953	0.115421579281	0.11399228743	0.096817157164	0.092504995099	0.043286713244
0.1375	0.181188723	0.151500230231	0.119020324667	0.120450553543	0.104660142938	0.103833476832	0.04912063479
0.1425	0.193506680591	0.151393764855	0.125864484073	0.120437585138	0.108144464405	0.10097182096	0.048320624451
0.1475	0.198884554332	0.164928175796	0.125929915808	0.128192691836	0.114525862148	0.115752667346	0.058068442731
0.1525	0.205603440291	0.162506088489	0.136529856762	0.129541406045	0.118767077416	0.112260922107	0.05363761624
0.1575	0.214022785042	0.176599442654	0.133912587391	0.138852721446	0.125174574945	0.126267283647	0.065871620495
0.1625	0.220216326008	0.178569052112	0.147339179266	0.139332552462	0.130029135191	0.124744567678	0.059656155556
0.1675	0.231096497304	0.186913275966	0.145611781481	0.149045888445	0.134975044689	0.136821280533	0.071557847824
0.1725	0.237801558394	0.191344897248	0.158122329077	0.150381634247	0.140625648417	0.140877480829	0.067693182497
0.1775	0.248184034434	0.197293650139	0.160504044205	0.155828364705	0.14630235193	0.149173657486	0.075693285882
0.1825	0.250285414405	0.20337548475	0.167505239773	0.163427850533	0.151652808115	0.155750215248	0.076308678451
0.1875	0.263792310664	0.210136036134	0.175173839032	0.164880311989	0.15945664421	0.164322056003	0.080247190887
0.1925	0.26366788685	0.217202675475	0.180486895856	0.174010069708	0.164115456059	0.170609822804	0.085231870689
0.1975	0.276870636008	0.221421366004	0.18812932242	0.179249305672	0.17232383884	0.179129156112	0.08659804219
0.2025	0.277216257713	0.231016558028	0.193507810979	0.184060584242	0.172597886596	0.185915743662	0.092776583574
0.2075	0.293253104858	0.235408254793	0.199619134961	0.193216278773	0.186496022784	0.192124749293	0.095508926577
0.2125	0.287667858094	0.241250542308	0.202458872229	0.195148571245	0.183585896615	0.19976458286	0.103250565084
0.2175	0.309428200685	0.24971453971	0.213909425729	0.20375959273	0.203069387065	0.201983022505	0.104555197329
0.2225	0.300151714104	0.253187972606	0.214524484032	0.209011797099	0.196740188895	0.214794839621	0.114918408176
0.2275	0.329183937383	0.263382032371	0.228081939376	0.216585346116	0.216406377848	0.211027430284	0.11404455073
0.2325	0.316243860722	0.265311717313	0.225569360779	0.219347616563	0.210142429144	0.228538663924	0.123373902063
0.2375	0.347529537522	0.275492468905	0.241246804314	0.23066903487	0.228307880387	0.226740283858	0.123238515698
0.2425	0.333276098379	0.277022908687	0.238786571105	0.22982608849	0.225802300905	0.239066407087	0.131177079827
0.2475	0.361852101007	0.285872843078	0.256283016853	0.24376712478	0.242714962407	0.242308741952	0.134241734816
0.2525	0.351884371014	0.28773598716	0.250826010214	0.241393906509	0.241475222559	0.252810231391	0.139521803051
0.2575	0.381773736124	0.298795078106	0.268701960021	0.257461761359	0.257265593252	0.258796080372	0.146389584112
0.2625	0.369165456299	0.293990828008	0.262656067773	0.254971827435	0.254029219755	0.269297569811	0.146832666761
0.2675	0.399538691797	0.31268880969	0.283855949681	0.274139131283	0.270576484249	0.27811882094	0.155878937512
0.2725	0.38351566952	0.303027076807	0.278137216105	0.271299050401	0.268736449317	0.282726349432	0.155115850728
0.2775	0.41652945485	0.324080604936	0.302176835282	0.290751659178	0.288963783676	0.302285373512	0.168925259957
0.2825	0.399552516665	0.317399902584	0.299389443401	0.283567162336	0.285231514239	0.29905616551	0.169183724836
0.2875	0.432096256475	0.335538941042	0.316519471437	0.307286376638	0.30942601611	0.327633343647	0.185011621689
0.2925	0.413363560025	0.335405859322	0.319686367377	0.297443356597	0.301961477237	0.319232152095	0.18547932004
0.2975	0.448879646504	0.346957352632	0.329069278073	0.319671204225	0.329666400362	0.349463314819	0.19712254743
0.3025	0.422252950296	0.348966886606	0.330050754088	0.310398794042	0.321575466619	0.337425982549	0.198857954472
0.3075	0.467031698487	0.359679965079	0.341697602791	0.329177045714	0.347153257162	0.368720421078	0.209996559956
0.3125	0.437335881533	0.361476568302	0.34419709504	0.321668338726	0.344791226505	0.352561254203	0.214205845122
0.3175	0.483815088516	0.375689696015	0.356511347433	0.339759264889	0.362499931488	0.385352154978	0.22764601881
0.3225	0.453967198012	0.377087054076	0.364166860345	0.334844239071	0.365201259367	0.368615406184	0.231646070503
