# xi	alpha_0	alpha_0p5	alpha_1	alpha_2	alpha_5	alpha_10	alpha_100
0.0025	0.003207369429	0.002492443033	0.002103157786	0.002466791789	0.002005901413	0.001532346298	0.000685031745
0.0075	0.008986164348	0.006770914763	0.006138591789	0.006361726193	0.004900493325	0.004379956502	0.002092460603
0.0125	0.01334099784	0.009996429275	0.009372196885	0.009243977652	0.00785856313	0.007112640733	0.003487434338
0.0175	0.020308731427	0.015221229643	0.013355051943	0.0122041278	0.01094358872	0.009015304053	0.004857497828
0.0225	0.024400892423	0.019886229972	0.018139735906	0.016475572529	0.013533486747	0.012565239644	0.006688400856
0.0275	0.031493049824	0.023058430195	0.022201459381	0.019682401855	0.017710332093	0.014914837301	0.008892957562
0.0325	0.036539126727	0.030509102149	0.027078156498	0.02357733626	0.019170323628	0.017673060637	0.00911714977
0.0375	0.044211928594	0.033134830905	0.030535222109	0.026459587719	0.023245604346	0.019614032614	0.012081468957
0.0425	0.04907828221	0.041238602904	0.035885129728	0.032146191949	0.02454055336	0.023534285227	0.011645539665
0.0475	0.056502236449	0.044077588819	0.039289616395	0.033795047513	0.028666616392	0.025002783762	0.014236205173
0.0525	0.063884716083	0.053114360884	0.044797260847	0.040273621739	0.029720349413	0.029280583844	0.013663269532
0.0575	0.071792540709	0.057912646936	0.051185602623	0.044622965156	0.036690222043	0.031310942689	0.017486992181
0.0625	0.079617416127	0.063710575916	0.053512220924	0.051296286102	0.036157007744	0.033443457954	0.01715070387
0.0675	0.086529850241	0.069335233455	0.062700391503	0.053607280515	0.04236514566	0.037299862804	0.020476221614
0.0725	0.091880074245	0.073933590921	0.061175602108	0.05850191475	0.042746013017	0.039534534489	0.021235984095
0.0775	0.101350108981	0.080144705644	0.074044298812	0.059488631465	0.047252943406	0.040530559582	0.023029521754
0.0825	0.105511394318	0.086395806085	0.071218180537	0.063682177507	0.048357458741	0.044884976979	0.024312399386
0.0875	0.114912304713	0.09115410642	0.083179890447	0.06601913815	0.054756030336	0.046200240885	0.025670007753
0.0925	0.118810917554	0.098671421235	0.080025153767	0.07087482304	0.054070469094	0.050056645735	0.028223307894
0.0975	0.127962980321	0.102989878682	0.093656245169	0.074990470394	0.061306948874	0.054794149706	0.030652056808
0.1025	0.132870808542	0.108961079103	0.08858237701	0.081417112161	0.061675120652	0.055547553303	0.03335481842
